Finding,Primary hypothesis,Alternative hypothesis,Discriminating test,Observed result,Residual uncertainty
F-001,Historical model was removed or never public,"It is private renamed or stored outside checked cache","Exact HF API; author inventory; local cache; git/config history","Public exact ID absent; author inventory lacked it; local cache absent; historical config present","Private/external artifact may exist but was not supplied"
F-002,No patient-level validation exists,"Validation exists outside repository","Search repository/audit/model card; request controlled study report","No report/predictions/model card in supplied scope","External unpublished evidence may exist"
F-003,Clinical misuse could cause false-negative harm,"Research-only boundary prevents all clinical exposure","Inspect UI/API/README claims and deployment/access context","Research-only wording verified; deployment/user controls unknown","Actual user behavior and external marketing unknown"
F-004,Single-cell pipeline cannot diagnose patient,"Upstream system performs hidden aggregation","Trace routes/schemas/external calls and identifiers","No detector/slide/patient IDs or aggregation path observed","Separate system outside repository may exist"
F-005,Image-level split may leak patients/slides,"Dataset was properly patient-split before export","Inspect split manifest/patient IDs/hashes/near duplicates","Required manifests/data unavailable; NOT EXECUTED","Leakage probability cannot be quantified"
F-006,Anonymous endpoint permits resource abuse,"Private network/reverse proxy already enforces identity/quota","Inspect repository deployment manifests and live gateway config","No manifests/config in scope; application has no auth; live edge NOT EXECUTED","External controls may exist"
F-007,Supply chain is mutable/incomplete,"External CI policy/mirror/signing closes gaps","Inspect locks/digests/signatures/attestations and organization policy","Actions full-SHA pinned; dependency/base/model/signature gaps remain","Organization controls outside repository unknown"
F-008,Model is not robust/OOD-safe,"Training included broad augmentations and external sites","Inspect model card/training data; run locked corruption/OOD/external tests","Model/training evidence unavailable; model tests NOT EXECUTED","Robustness completely unknown"
F-009,Operational failures are not detected,"External telemetry auto-discovers service","Inspect deployment/collector/dashboard/alerts and inject failures","No deployment telemetry artifacts; injection NOT EXECUTED","External observability may exist"
F-010,Real model capacity is unknown,"Model is small enough that capacity is trivially sufficient","Load exact artifact with representative images and measure T2/T3","Artifact absent; only T0/T1 synthetic measured","Service rate/RSS/worker topology unknown"
F-011,Health-data governance is undefined,"Deployment never processes identifiable data or has external DPIA","Inspect data flow/legal basis/DPIA/retention/encryption contracts","Application persistence absent; organizational artifacts not supplied","Identifiability and controller obligations depend on deployment"
