Horizon,Initiative,Deliverable,Accountable owner,Dependencies,Exit criteria,Primary risk,Estimated effort
0-7 days,Model decision,"Recovery/selection decision and artifact acceptance checklist",ML lead + legal,Repository/model-owner access,"Named artifact candidate or documented stop; license/revision/hash/labels/preprocessor fields assigned","Silent substitution or unusable license","1-2 person-weeks"
0-7 days,Intended purpose and claims,"Controlled research-only intended-purpose and claim matrix",Product + clinical + regulatory,Target user/market workshop,"README UI OpenAPI and external claims contain no unsupported patient/production claim","Stakeholders choose overbroad purpose","1-2 person-weeks"
0-7 days,Security critical triage,"Public exposure decision; temporary network deny/allowlist; secret review",Security/SRE,Deployment inventory,"No unauthenticated production analyze exposure; secrets scan reviewed","Unknown shadow deployment","1-2 person-weeks"
0-7 days,Real-model smoke design,"Manifest schema; positive/negative golden-image provenance; clean/offline test recipe",ML platform + QA,Model candidate,"Test is executable without mock and fails on label/revision mismatch","Golden cases have invalid provenance","1-2 person-weeks"
8-30 days,Controlled model registry,"Approved local/registry artifact with immutable manifest and signature policy",ML platform + security,Model decision,"Two clean installs resolve exact artifact; checksum and license record match","Registry outage or mutable artifact","3-6 person-weeks"
8-30 days,Data and model documentation,"Dataset Datasheet; Model Card; patient/slide/cell lineage and split policy",Data lead + ML lead + privacy,Data access/legal basis,"Required fields complete; zero linked cross-split cases; limitations approved","Missing patient identifiers prevent leakage audit","4-8 person-weeks"
8-30 days,Evaluation harness,"Locked prediction schema; cluster bootstrap; prevalence/calibration/selective metrics",Biostatistician + ML engineer,Registry + lineage,"Synthetic/golden tests pass; protocol identifies unit of analysis and untouched test","Toolkit used on biased data","3-6 person-weeks"
8-30 days,Dependency/release lock,"Hash lock; base digest candidate; SBOM; action SHA update policy",Platform/security,Supported OS/Python matrix,"Offline dependency install and signed manifest verification pass","Cross-platform wheel incompatibility","3-6 person-weeks"
8-30 days,Basic telemetry,"Protected model/API metrics and privacy label policy",SRE + privacy,Deployment topology,"No forbidden labels; model-ready queue/reject/latency dashboards visible","Sensitive/high-cardinality telemetry","2-5 person-weeks"
31-60 days,External validation dataset,"Independent site/time/device patient-grouped cohort manifest",Clinical data lead + privacy,Agreements/ethics/intended purpose,"Reference standard and inclusion/exclusion locked; sample-size assumptions reviewed","Spectrum/selection bias","8-16 person-weeks"
31-60 days,Image QC OOD reject,"QC taxonomy/dataset; baseline OOD score; risk-coverage threshold",ML + microscopy specialist,Approved model + external data,"Prespecified QC/OOD/subgroup targets and review capacity pass","Excessive reject rate or hidden subgroup harm","8-16 person-weeks"
31-60 days,Real capacity and staging,"T2/T3 benchmark; staging topology; resource and failure budgets",Performance/SRE,Registry + container lock,"Cold/warm/c=1..16/soak/recovery measured; deployment limits configured","Nonrepresentative workload","4-8 person-weeks"
31-60 days,Identity and rate control,"Gateway auth; role policy; per-principal quota; global limits",Security/SRE,Identity provider/staging,"Unauthorized denied; abuse test bounded; audit alias present","Workflow lockout or multi-worker inconsistency","4-8 person-weeks"
31-60 days,Patient-level analysis protocol,"Prespecified endpoints/CI/subgroups/threshold policy",Biostatistician + clinical lead,External cohort design,"Signed protocol frozen before test access","Threshold leakage or underpowered cohort","4-8 person-weeks"
61-90 days,Prospective silent pilot,"No-action shadow workflow with operator/reference comparison",Clinical PI + site QA,External retrospective gates + approvals,"No result affects care; completeness/errors/review burden measured","Operational leakage into care","8-16 person-weeks"
61-90 days,Human factors,"Formative usability and automation-bias study; hazard controls",Human-factors lead + intended users,Review UI/QC semantics,"Critical tasks and hazard acceptance pass; overrides audited","Participants not representative","4-8 person-weeks"
61-90 days,Operational resilience,"Alerts/runbooks; outage/rollback/incident exercises; drift plan",SRE + security + ML platform,Staging telemetry,"Injected model/queue/worker failures detected and recovered within agreed bounds","Runbook not executable under pressure","4-8 person-weeks"
61-90 days,Risk/change control,"Controlled risk file; requirements-test traceability; release approval",Quality/regulatory lead,Intended purpose and architecture,"Every safety requirement maps risk-control-test-release evidence","Documentation-only compliance","6-12 person-weeks"
3-6 months,Multi-site validation,"Locked multi-site patient-level performance and subgroup report",Clinical PI + biostatistician,Prospective protocol/sites,"Primary targets and CI met or explicit NO-GO; independent review complete","Site heterogeneity causes failure","20-40+ person-weeks"
3-6 months,Slide/counting research,"Detection/segmentation/classification/counting prototype and parasitemia comparison",CV team + microscopy lab,Annotated slides and strategy-C approval,"Counting error and patient endpoints beat prespecified baseline","Annotation cost/error propagation","20-40 person-weeks"
3-6 months,Regulatory and QMS pathway,"Market classification; QMS scope; performance/usability/cyber plan",Regulatory + quality + legal,Intended purpose/market decision,"Controlled plan accepted by accountable organization/external expert","Wrong market/classification assumptions","12-30 person-weeks"
3-6 months,Controlled release/PMS design,"Signed release lineage; monitoring/incident/change/PMS plan",Quality + SRE + ML platform,QMS/risk/telemetry,"Every prediction release traceable to code/model/data/calibration/container; drill passes","Drift signal lacks clinical meaning","8-16 person-weeks"
