Finding ID,Classification,Severity,Confidence,Component,Finding,Status,Acceptance criteria
ARCH-001,VERIFIED,CRITICAL,1.00,Model,"Approved model artifact absent",OPEN_STOP_SHIP,"Signed manifest, immutable revision, hashes, license and offline smoke"
ARCH-002,OBSERVED,HIGH,1.00,API,"Authentication and authorization absent",OPEN,"Approved trust boundary and negative auth tests"
ARCH-003,OBSERVED,HIGH,1.00,Admission,"No global rate limit before multipart parsing",OPEN,"Distributed/global quota and overload tests"
ARCH-004,UNKNOWN,HIGH,0.95,Deployment,"No reverse-proxy slow-upload/header timeout evidence",OPEN,"Ingress config plus slowloris tests"
ARCH-005,INFERRED,HIGH,0.90,Upload,"Concurrent uploads can amplify spool/RAM before inference semaphore",OPEN,"Measured peak RSS/disk and global upload admission"
ARCH-006,OBSERVED,MEDIUM,1.00,Multipart,"Parser defaults allow up to 1000 files/fields",OPEN,"Part-count policy verified at ingress/parser"
ARCH-007,VERIFIED,HIGH,1.00,Image validation,"MIME was not matched to decoded format; multiframe/unusual modes accepted",CLOSED,"Adversarial MIME/frame/mode tests pass"
ARCH-008,VERIFIED,HIGH,1.00,Model loader,"Safe serialization and remote-code policy were implicit",CLOSED,"use_safetensors=true and trust_remote_code=false asserted"
ARCH-009,VERIFIED,MEDIUM,1.00,Readiness,"Local model path could be returned publicly",CLOSED,"Readiness returns local-artifact sentinel"
ARCH-010,VERIFIED,MEDIUM,1.00,API versioning,"Legacy aliases duplicated canonical OpenAPI without migration metadata",CLOSED,"Hidden aliases plus Deprecation/Link tests"
ARCH-011,VERIFIED,HIGH,1.00,Concurrency,"No compute wait timeout existed",CLOSED,"504 timeout retains semaphore until native task completes"
ARCH-012,VERIFIED,MEDIUM,1.00,Documentation,"Security-hardened Docker claim exceeded evidence",CLOSED,"Comments/Make target narrowed to multi-stage non-root"
ARCH-013,UNKNOWN,HIGH,1.00,Container,"Docker build/runtime and Linux behavior unverified",OPEN,"Reproducible build, scan, health/readiness smoke"
ARCH-014,UNKNOWN,HIGH,1.00,Performance,"Real-model latency/throughput/RSS and worker count unknown",OPEN_STOP_SHIP,"Approved model benchmark with p50/p95/p99 and resource envelope"
ARCH-015,INFERRED,MEDIUM,0.85,Imaging,"EXIF/color-profile preprocessing contract undefined",OPEN,"Approved model card defines transforms; fixtures match training pipeline"
