Order,Policy class,ID,Recommendation,I,U,E,F,D,PriorityScore,Owner role,Problem,Solution,Expected effect,Evidence basis,Dependencies,Estimated effort,Risk of change,Acceptance criteria,Effect measurement
1,STOP-SHIP,REC-001,Approve immutable model artifact,5,5,1.00,3,4,7.2169,ML lead + legal,"Configured historical model is unavailable; provenance/license/labels unknown","Select or recover model; approve license; pin revision and SHA-256; require safetensors","Unlock reproducible inference without silent substitution","Phase 5 model audit; G0 FAIL","Intended task; registry decision","3-6 person-weeks","Wrong replacement model or license decision","Manifest contains source/license/revision/hash/id2label/processor and passes clean-cache load","Artifact manifest verification and real-model smoke"
2,STOP-SHIP,REC-002,Approve intended purpose and claim boundary,5,5,1.00,2,3,10.2062,Product + clinical + regulatory,"Clinical population/user/setting are undefined","Controlled intended-purpose statement; retain research-only public wording until evidence exists","Prevents unsafe scope drift and determines data/regulatory plan","Phases 6 16 17; G5 clinical FAIL","Stakeholder and target-market decision","1-2 person-weeks","Overbroad purpose causes evidence burden","One version-controlled statement maps population/user/input/output/contraindications","Claim-to-evidence review has no unsupported clinical claim"
3,STOP-SHIP,REC-003,Reproduce end-to-end real inference,5,5,1.00,3,3,8.3333,ML platform + QA,"Processor-model-logit-label path has never been reproduced","Clean environment and offline container smoke using approved manifest and golden images","Closes G1 and detects inverted labels/preprocessing mismatch","Phase 5 STOP-SHIP; mocked-test gap","REC-001; container environment","2-4 person-weeks","Platform numerical drift","Cold and offline smoke pass on supported Python/container with recorded hashes","Repeatability across two clean installs and supported Python versions"
4,STOP-SHIP,REC-004,Run independent patient-level external validation,5,5,1.00,5,5,5.0000,Clinical ML + biostatistician,"No external patient-level evidence","Prespecified multi-site patient-grouped protocol with locked test and reference standard","Estimates clinical performance and closes G2 only if targets pass","Phases 7-9 and 18; G2 FAIL","REC-001 REC-002 REC-008; ethics/data agreements","20-40+ person-weeks","Spectrum bias insufficient positives or protocol deviation","Protocol frozen before test; patient-level Se/Sp CI/subgroups reported; independent review","Prespecified primary endpoints and confidence intervals"
5,STOP-SHIP,REC-005,Implement biological QC OOD and reject option,5,5,0.90,5,5,4.5000,ML lead + microscopy specialist,"Decoder validation cannot identify wrong cell/stain/focus/domain","Image-quality model/rules; OOD benchmark; calibrated selective classification; human escalation","Reduces confident errors on unusable or shifted inputs","Phases 10 and 16; R-009","Representative QC/OOD data; REC-001","12-24 person-weeks","Rejects may be biased or excessive","Locked risk-coverage and subgroup thresholds meet review capacity and safety constraints","Quality failure rate OOD FPR95 coverage/selective risk"
6,REGULATORY-MANDATORY,REC-006,Establish regulatory strategy and controlled QMS scope,5,4,0.75,5,5,3.0000,Regulatory lead + quality lead,"Medical/IVD applicability and controlled lifecycle are unresolved","Market-specific classification memo; QMS/risk/software/usability/cybersecurity artifact plan","Avoids building evidence that cannot support intended market","Phase 17 official-source gap analysis","REC-002; counsel; target market","12-30 person-weeks initial","Premature classification or excessive scope","Approved applicability memo and controlled artifact owners/change process","Gap closure rate and audit-ready traceability"
7,PATIENT-SAFETY,REC-007,Validate slide aggregation and mandatory human review,5,4,0.90,5,5,3.6000,Clinical ML + UX/human factors,"Single-cell score cannot support patient result","Detection/counting coverage; hierarchical aggregation; minimum count; review/override/escalation","Creates auditable slide workflow without independence fallacy","Phase 9 AGG-001; WHO microscopy QA","REC-004 REC-005; annotated slides","16-32 person-weeks","Automation bias and false-positive accumulation","Patient safety gate P0-P6 passes; usability hazards controlled","Patient-level errors override quality review time and parasitemia agreement"
8,EVIDENCE-ENABLER,REC-008,Create patient-slide-cell data registry and leakage controls,5,5,0.90,4,4,5.6250,Data lead + privacy lead,"Dataset lineage and patient-grouped split are unavailable","Versioned datasheet/consent/license/lineage; exact/perceptual duplicates; patient split enforcement","Makes statistical validation identifiable and reproducible","Phase 7 leakage audit","Data access legal basis storage design","8-16 person-weeks","Re-identification or unusable identifiers","Zero cross-split linked cases; immutable manifest; privacy review","Leakage rate duplicate clusters and manifest completeness"
9,EVIDENCE-ENABLER,REC-009,Calibrate scores and validate selective classification,4,4,0.90,3,3,4.8000,Biostatistician + ML engineer,"Softmax confidence is uncalibrated and cannot express safe uncertainty","Separate calibration set; temperature baseline; Brier/NLL/ECE; reject threshold from clinical loss","Improves score semantics and enables indeterminate response","Phase 8 toolkit and literature","REC-001 REC-008; review-cost requirements","6-10 person-weeks","Overfit calibration or low coverage","Calibration/test separation proven; CI and risk-coverage meet prespecified targets","Brier ECE calibration slope/intercept coverage and selective risk"
10,SECURITY-RELIABILITY,REC-010,Add deployment identity quotas and global rate limiting,4,5,1.00,3,3,6.6667,Security/SRE,"Anonymous callers can exhaust inference resources","Gateway authentication; per-principal quotas; global concurrency/rate/body/time limits","Bounds abuse and provides accountable access","Phase 13 SEC-001/002","Identity provider gateway deployment","4-8 person-weeks","Misconfiguration blocks legitimate workflow","Unauthorized requests rejected; overload stays within RSS/latency budgets; audit events contain principal alias","Abuse-test rejection rate queue depth RSS and 5xx"
11,SECURITY-RELIABILITY,REC-011,Complete reproducible signed supply chain,4,4,1.00,4,3,4.6188,Platform/security,"Dependencies/base/model/container are not fully immutable or signed","Hash lock; base digest; scans; SBOM; model/container signatures and provenance policy","Reduces rebuild drift and tampering risk","Phase 14 supply-chain audit","REC-001; registry/signing service","6-12 person-weeks","Cross-platform lock complexity","Offline verified build; policy rejects mutable/untrusted artifacts","Rebuild digest parity CVE policy and signature verification"
12,SECURITY-RELIABILITY,REC-012,Deploy internal metrics alerts and runbooks,4,4,1.00,3,3,5.3333,SRE + ML platform,"Queue/model/drift failures are not observable","Protected metrics/traces; dashboards; alert tests; privacy-approved retention; incident runbooks","Shortens detection/recovery and supports error budgets","Phase 12 OBS-001","Deployment topology and SLO decisions","5-10 person-weeks","High-cardinality or privacy leakage","Alert injection tests pass; no forbidden labels; on-call runbooks exercised","MTTD MTTR alert precision queue/reject/model status"
