RiskID,Risk,Mechanism,Evidence,AffectedEstimand,Direction,Severity,Detectability,Mitigation,AcceptanceCriterion
DATA-001,Selection bias,"expert-selected and segmented cells may exclude hard fields","reference study and API input contract",all cell metrics,optimistic,high,medium,"prospective consecutive cohort and failure accounting","all eligible cases and exclusions reported"
DATA-002,Spectrum bias,"one site and P. falciparum focus","reference dataset documentation",sensitivity and specificity,unknown,critical,high,"external multi-site species and subgroup validation","predefined subgroup CIs meet gates"
DATA-003,Prevalence distortion,"balanced 13779/13779 cells","reference study",PPV NPV and threshold utility,optimistic PPV at low prevalence,high,high,"prevalence transport and representative cohort","deployment prevalence sourced and reported"
DATA-004,Patient leakage,"unknown current split and lineage","missing model card/split manifest",all performance metrics,optimistic,critical,low,"patient-isolated split and duplicate audit","zero cross-split related clusters"
DATA-005,Device confounding,"unknown training device versus user uploads","missing provenance",generalization,unknown,high,low,"device-stratified external validation","device deltas and CIs within limits"
DATA-006,Stain batch effect,"unknown stain protocol and no biological QC","API inspection",generalization,unknown,critical,low,"stain/site QC and OOD/reject workflow","validated reject and site performance"
DATA-007,Label noise,"annotator agreement/adjudication unknown","reviewed documentation",sensitivity specificity calibration,attenuation or unknown,high,low,"multi-reader blinded adjudication","agreement and adjudication reported"
DATA-008,Verification bias,"reference standard for runtime population absent","no validation cohort",diagnostic metrics,unknown,critical,high,"apply reference standard independent of model","all cases verified or bias-adjusted protocol"
DATA-009,Missing hard cases,"failed/unreadable cases may be excluded","no failure ledger",coverage and risk,optimistic,high,medium,"intention-to-diagnose analysis with rejects","all failures counted and reported"
DATA-010,Subgroup underrepresentation,"age sex geography and clinical status unavailable","no metadata",fairness and safety,unknown,high,low,"predefined subgroup collection and analysis","minimum subgroup sizes and delta gates"
